,0
0,60610
1,11373
2,11426
3,11207
4,91792
5,60643
6,20019
7,91356
8,10314
9,10282
10,10012
11,94118
12,90631
13,60609
14,11223
15,91740
16,11427
17,11228
18,20064
19,94112
20,90232
21,90803
22,11436
23,90247
24,11209
25,90027
26,91790
27,10475
28,91390
29,91335
30,90602
31,10280
32,10464
33,10003
34,91748
35,90638
36,11385
37,20003
38,10037
39,91402
40,10044
41,90038
42,10027
43,99135
44,91016
45,20009
46,94123
47,91405
48,60632
49,11416
50,11423
51,94158
52,10306
53,90061
54,10035
55,90650
56,91108
57,90260
58,91523
59,95202
60,90212
61,20712
62,10302
63,90031
64,10281
65,11370
66,11357
67,20815
68,10028
69,90262
70,11364
71,90036
72,91770
73,91354
74,02122
75,94014
76,94104
77,91306
78,10454
79,10036
80,02116
81,11213
82,10018
83,11201
84,10452
85,90303
86,91750
87,91775
88,91401
89,91104
90,90293
91,90605
92,11372
93,20007
94,91302
95,90301
96,90717
97,90220
98,90006
99,90037
100,10465
101,02126
102,90067
103,90712
104,10019
105,11415
106,91024
107,60646
108,11209
109,91203
110,9004
111,91210
112,11233
113,11412
114,02145
115,10022
116,90802
117,90022
118,94124
119,10002
120,91343
121,10312
122,60617
123,90210
124,10026
125,11385
126,90401
127,60653
128,11358
129,11418
130,60302
131,91030
132,10034
133,91780
134,02152
135,02130
136,93550
137,60639
138,91355
139,10000
140,90018
141,60614
142,11109
143,60618
144,91010
145,11224
146,60654
147,60656
148,60660
149,91326
150,10024
151,90815
152,10019
153,92614
154,11355
155,91103
156,94122
157,10033
158,91344
159,90001
160,02139
161,10457
162,10458
163,11004
164,90021
165,10308
166,10001
167,20229
168,91406
169,90805
170,02458
171,90806
172,90034
173,11103
174,02472
175,91303
176,10309
177,10451
178,10003
179,10463
180,60636
181,91791
182,02210
183,91423
184,02121
185,10301
186,02199
187,91755
188,02131
189,91387
190,90703
191,10453
192,94116
193,91205
194,90807
195,11693
196,10456
197,90221
198,11226
199,90272
200,90003
201,20743
202,90504
203,10119
204,60605
205,10017
206,90266
207,11211
208,91606
209,91768
210,11378
211,94110
212,10162
213,60607
214,60647
215,11361
216,10012
217,90245
218,90066
219,90502
220,10035
221,91324
222,10036
223,90029
224,10030
225,10468
226,11101
227,91342
228,10453
229,10018
230,11232
231,20748
232,10029
233,90745
234,10010
235,10009
236,10001
237,91311
238,90403
239,90292
240,02163
241,90046
242,90039
243,11235
244,02108
245,02136
246,90248
247,20781
248,02118
249,90033
250,60619
251,11694
252,90035
253,94130
254,10463
255,11238
256,02186
257,90840
258,91607
259,90201
260,60651
261,93105
262,90035
263,90746
264,10307
265,90403
266,90731
267,90813
268,94401
269,10471
270,93536
271,91411
272,92880
273,94132
274,11428
275,91331
276,10128
277,10301
278,90063
279,91604
280,90016
281,11419
282,91722
283,10030
284,20910
285,60606
286,91364
287,10310
288,11691
289,20268
290,11219
291,90810
292,90732
293,91007
294,94121
295,10312
296,90706
297,20782
298,93551
299,60649
300,60657
301,90304
302,91214
303,02110
304,11237
305,90077
306,91308
307,90249
308,91316
309,91764
310,11411
311,90043
312,91008
313,60631
314,90291
315,91352
316,91101
317,10459
318,11694
319,91732
320,10461
321,10472
322,11363
323,91606
324,10471
325,91105
326,10013
327,11226
328,11225
329,90040
330,91744
331,10118
332,10025
333,11234
334,94102
335,11206
336,10467
337,90704
338,07306
339,11214
340,10282
341,11249
342,10314
343,10704
344,60661
345,20011
346,11105
347,90265
348,90034
349,60620
350,94127
351,90402
352,10475
353,10307
354,91042
355,90723
356,60628
357,90058
358,94115
359,10014
360,91006
361,10002
362,91733
363,10279
